% Model,capacitance_and_inductance_2d.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 11 2022, 08:11"
% Table,Table 1 - Global Matrix Evaluation 1
% d,Maxwell to mutual:,Maxwell capacitance (F)
1,1.119734748291501E-13,1.5037031781152715E-14
,1.5037031781152696E-14,1.1197665264195987E-13
1.5,1.1363851773985562E-13,1.3818752043640052E-14
,1.3818752043640041E-14,1.1363567879920492E-13
2,1.1494146892771676E-13,1.2817649525777453E-14
,1.2817649525777453E-14,1.149391454990092E-13
2.5,1.160144660647156E-13,1.1964292712376472E-14
,1.1964292712376479E-14,1.1601332877236827E-13
3,1.1692589953011223E-13,1.1217724577869285E-14
,1.1217724577869278E-14,1.1692557309078138E-13
3.5,1.1771525874830811E-13,1.0555805642342394E-14
,1.0555805642342392E-14,1.1771514215245812E-13
4,1.184117924638239E-13,9.963699268164519E-15
,9.963699268164528E-15,1.1841084086809293E-13
4.5,1.1903293499289051E-13,9.42783813460986E-15
,9.427838134609863E-15,1.1902976587701283E-13
5,1.1958027549056732E-13,8.940528105260018E-15
,8.940528105260016E-15,1.1958383691765887E-13
5.5,1.2008672472201226E-13,8.496066947526951E-15
,8.496066947526957E-15,1.2008160270748518E-13
6,1.2053896176164683E-13,8.086827621082142E-15
,8.086827621082137E-15,1.2054127365273265E-13
6.5,1.2095521916150255E-13,7.71056795016232E-15
,7.710567950162325E-15,1.2095409076031948E-13
7,1.213400190389755E-13,7.361990159618912E-15
,7.361990159618915E-15,1.2133616799808384E-13
7.5,1.216930604382391E-13,7.038565027387572E-15
,7.038565027387569E-15,1.2169459632718897E-13
8,1.2201733739835988E-13,6.73831905478265E-15
,6.738319054782648E-15,1.2201766339987525E-13
8.5,1.2232817532442242E-13,6.458446243704521E-15
,6.458446243704523E-15,1.22317923078982E-13
9,1.226005721309149E-13,6.19573027802403E-15
,6.195730278024027E-15,1.2259701837353205E-13
9.5,1.228671964271385E-13,5.950929737202304E-15
,5.950929737202305E-15,1.2286307344201112E-13
10,1.2311032340057874E-13,5.7208607980911375E-15
,5.720860798091127E-15,1.2310846362955742E-13
10.5,1.2333894558560287E-13,5.504312234243006E-15
,5.504312234243008E-15,1.2333531377355987E-13
11,1.2356442189001288E-13,5.3013299934613525E-15
,5.301329993461352E-15,1.2355557229128675E-13
11.5,1.2376050414363052E-13,5.109271781461749E-15
,5.109271781461745E-15,1.237577346145802E-13
12,1.2394394913211958E-13,4.927452249575377E-15
,4.927452249575379E-15,1.2394401146282978E-13
12.5,1.2413138324861822E-13,4.756627377537228E-15
,4.756627377537231E-15,1.2412586292396973E-13
13,1.2429470827124668E-13,4.594232310033981E-15
,4.594232310033986E-15,1.242964201328862E-13
13.5,1.2445937238270055E-13,4.440825872597641E-15
,4.440825872597644E-15,1.2446073292792191E-13
14,1.2461092859561603E-13,4.294702507281597E-15
,4.2947025072816E-15,1.2460861501838454E-13
14.5,1.2475310918866649E-13,4.156238644258366E-15
,4.156238644258365E-15,1.247564636122034E-13
15,1.248886428765767E-13,4.024508888307199E-15
,4.0245088883072045E-15,1.248914446131007E-13
15.5,1.2502192452904565E-13,3.8995709221591535E-15
,3.8995709221591535E-15,1.250246051201539E-13
16,1.251465885242864E-13,3.779780738283775E-15
,3.7797807382837754E-15,1.2513659646131732E-13
16.5,1.2526206684262578E-13,3.665992531333177E-15
,3.6659925313331716E-15,1.2526393644527264E-13
17,1.2537460383224584E-13,3.557085942967464E-15
,3.5570859429674694E-15,1.2537199204474923E-13
17.5,1.254806860385786E-13,3.453416603726365E-15
,3.4534166037263658E-15,1.254860377661139E-13
18,1.2558535680327962E-13,3.3544278157994896E-15
,3.354427815799488E-15,1.255843950752147E-13
18.5,1.256862816513503E-13,3.2592888917280877E-15
,3.259288891728089E-15,1.2568417678132841E-13
19,1.257732604243147E-13,3.1683375231299056E-15
,3.1683375231299044E-15,1.25776729192307E-13
19.5,1.2585837846412025E-13,3.0811873956517702E-15
,3.0811873956517714E-15,1.2586353396501556E-13
20,1.259479963238279E-13,2.9980273068530465E-15
,2.9980273068530453E-15,1.2595142344676918E-13
20.5,1.2603265749038337E-13,2.917742550317505E-15
,2.917742550317504E-15,1.260324520717765E-13
21,1.2611236641999454E-13,2.8410259375235943E-15
,2.841025937523594E-15,1.2610888187630203E-13
21.5,1.2618377773991944E-13,2.7672026126612223E-15
,2.7672026126612187E-15,1.2618721762913377E-13
22,1.2625762993197585E-13,2.6962370299913465E-15
,2.696237029991347E-15,1.2625755124774274E-13
22.5,1.2632780117667936E-13,2.6280610880882474E-15
,2.6280610880882474E-15,1.2632963503214526E-13
23,1.263930452648753E-13,2.562260593615822E-15
,2.5622605936158207E-15,1.2639331362554548E-13
23.5,1.2645810601610983E-13,2.499365215348108E-15
,2.499365215348106E-15,1.2645948561262282E-13
24,1.265214947575254E-13,2.4382573611288035E-15
,2.438257361128804E-15,1.2652263521736348E-13
24.5,1.265792573554604E-13,2.3798280040927554E-15
,2.3798280040927557E-15,1.2658324559772737E-13
25,1.2664094979954469E-13,2.323191349327955E-15
,2.3231913493279547E-15,1.266423915328117E-13
25.5,1.2669400813458787E-13,2.2687899953219964E-15
,2.2687899953219968E-15,1.2669338927669033E-13
26,1.2674883306305184E-13,2.2161732794501518E-15
,2.2161732794501518E-15,1.2674964044479424E-13
26.5,1.2680092905823793E-13,2.1653985412905365E-15
,2.1653985412905357E-15,1.26799178335052E-13
27,1.2685274523908353E-13,2.116167454615999E-15
,2.1161674546159998E-15,1.2685387411876313E-13
27.5,1.2689644751158956E-13,2.0689780905862592E-15
,2.0689780905862577E-15,1.2690004689757874E-13
28,1.2695043512708626E-13,2.023055983356017E-15
,2.023055983356019E-15,1.2694657586630826E-13
28.5,1.2699067621095908E-13,1.9787316233413882E-15
,1.9787316233413854E-15,1.2699092236235044E-13
29,1.270367549972373E-13,1.935703113291266E-15
,1.935703113291268E-15,1.2703332392250104E-13
29.5,1.2707526527947538E-13,1.894334805716312E-15
,1.894334805716311E-15,1.2707647191808093E-13
30,1.2711517139005656E-13,1.8540727429234815E-15
,1.8540727429234803E-15,1.2712187545012082E-13
30.5,1.2715713738443334E-13,1.815104289329483E-15
,1.815104289329483E-15,1.2715748936650743E-13
31,1.2719415923083345E-13,1.777393549063539E-15
,1.7773935490635393E-15,1.2719008466700214E-13
31.5,1.2723087658447313E-13,1.7409415677997194E-15
,1.7409415677997192E-15,1.2724354240081038E-13
32,1.272699091532579E-13,1.705343963631639E-15
,1.7053439636316378E-15,1.2726949486801756E-13
32.5,1.27302249909463E-13,1.6709802132681826E-15
,1.670980213268181E-15,1.2730098537349195E-13
33,1.2733677505265509E-13,1.6376762722454499E-15
,1.637676272245452E-15,1.2733748294630618E-13
33.5,1.273704054752258E-13,1.6052767846499928E-15
,1.6052767846499928E-15,1.2737197165163818E-13
34,1.2740485012554075E-13,1.5737570689502846E-15
,1.5737570689502824E-15,1.2739764050407968E-13
34.5,1.2744054118629187E-13,1.5434260892713598E-15
,1.54342608927136E-15,1.27434668348269E-13
