% Model,R_V_coupling_sim_Luka_capacitances.mph
% Version,COMSOL 6.0.0.405
% Date,"Dec 8 2022, 12:04"
% Table,Table 42 - Global Matrix Evaluation 1
% readout_angle,Maxwell to mutual:,Maxwell capacitance (fF)
10,80.05834804617972,8.52991762157619
,8.529925226612729,44.6724581285047
16.666666666666668,79.36759447594522,10.207089563439744
,10.207094387294338,45.327236658004466
23.333333333333336,78.61010332089512,11.956077294466713
,11.956083574518445,46.11768920862387
30,77.8115901376949,13.700971456534358
,13.700971448603589,46.902441902131685
36.66666666666667,77.0101664756316,15.507327646279213
,15.50734831764971,47.6481083189814
43.333333333333336,76.19148002364953,17.38219852694533
,17.38222878294693,48.43655892756605
50,75.34475201390498,19.242606363486203
,19.24264333448513,49.26938684928813
56.66666666666667,74.4895545306646,21.032093432184322
,21.032101127780297,50.07944456135543
63.333333333333336,73.62559759817418,22.92562689489231
,22.925581623499458,50.92359888201227
70,72.76355348569129,24.841085539286656
,24.841076042570304,51.786293407675444
